feature,project,status,source,checked_on,verification_basis,notes
3D_mandatory,CReDo,unknown,https://cp.catapult.org.uk/project/climate-resilience-demonstrator-credo/,2026-09-24,official project page supports cross-sector climate infrastructure dependency analysis; detailed software features unspecified,Not established by the checked material; unknown does not mean no.
3D_mandatory,rescuePY_TUM,unknown,https://www.mdpi.com/2624-6511/9/2/36,2026-09-24,paper source returned 429; prior supplied architecture notes not upgraded to currently verified feature claims,Not established by the checked material; unknown does not mean no.
3D_mandatory,NYU_FDNY_TDT,unknown,https://doi.org/10.1007/s42421-026-00166-4,2026-09-24,publisher redirect inaccessible; no implementation verified,Not established by the checked material; unknown does not mean no.
3D_mandatory,SUMO_LLM_Agent,unknown,https://github.com/xuyimingxym/SUMO_LLM_Agent/tree/f06f6098626eb184bb3a3334b1b20639dda6b842,2026-09-24,pinned official MIT repository README and bounded unmodified application smoke,Not established by the checked material; unknown does not mean no.
3D_mandatory,FireCom,unknown,https://pubmed.ncbi.nlm.nih.gov/41078483/,2026-09-24,source returned browser verification page; no implementation verified,Not established by the checked material; unknown does not mean no.
provenance_action_replay,CiviFlux,yes,evidence/wp6/ablation_report.json,2026-09-24,local implementation and executed engineering evidence,Source/action/graph hashes plus deterministic replay.
provenance_action_replay,EU_LDT_Urban_Flow,unknown,https://interoperable-europe.ec.europa.eu/collection/ldttoolbox/solution/urban-mobility/solution-overview,2026-09-24,official URL returns general portal content; product feature text not verified in current fetch,Not established by the checked material; unknown does not mean no.
provenance_action_replay,The_World_Avatar,unknown,https://github.com/cambridge-cares/TheWorldAvatar,2026-09-24,official README describes dynamic semantic KG and computational agents; core development migrated to TheWorldAvatar organization,Not established by the checked material; unknown does not mean no.
provenance_action_replay,CReDo,unknown,https://cp.catapult.org.uk/project/climate-resilience-demonstrator-credo/,2026-09-24,official project page supports cross-sector climate infrastructure dependency analysis; detailed software features unspecified,Not established by the checked material; unknown does not mean no.
provenance_action_replay,rescuePY_TUM,unknown,https://www.mdpi.com/2624-6511/9/2/36,2026-09-24,paper source returned 429; prior supplied architecture notes not upgraded to currently verified feature claims,Not established by the checked material; unknown does not mean no.
provenance_action_replay,NYU_FDNY_TDT,unknown,https://doi.org/10.1007/s42421-026-00166-4,2026-09-24,publisher redirect inaccessible; no implementation verified,Not established by the checked material; unknown does not mean no.
provenance_action_replay,SUMO_LLM_Agent,partial,https://github.com/xuyimingxym/SUMO_LLM_Agent/tree/f06f6098626eb184bb3a3334b1b20639dda6b842,2026-09-24,pinned official MIT repository README and bounded unmodified application smoke,In-memory simulation history present; deterministic action replay unverified.
provenance_action_replay,FireCom,unknown,https://pubmed.ncbi.nlm.nih.gov/41078483/,2026-09-24,source returned browser verification page; no implementation verified,Not established by the checked material; unknown does not mean no.
open_source_license,CiviFlux,yes,evidence/wp6/ablation_report.json,2026-09-24,local implementation and executed engineering evidence,Local LICENSE inspected; project Apache-2.0.
open_source_license,EU_LDT_Urban_Flow,unknown,https://interoperable-europe.ec.europa.eu/collection/ldttoolbox/solution/urban-mobility/solution-overview,2026-09-24,official URL returns general portal content; product feature text not verified in current fetch,Not established by the checked material; unknown does not mean no.
open_source_license,The_World_Avatar,yes,https://github.com/cambridge-cares/TheWorldAvatar,2026-09-24,official README describes dynamic semantic KG and computational agents; core development migrated to TheWorldAvatar organization,Repository declares MIT.
open_source_license,CReDo,unknown,https://cp.catapult.org.uk/project/climate-resilience-demonstrator-credo/,2026-09-24,official project page supports cross-sector climate infrastructure dependency analysis; detailed software features unspecified,Not established by the checked material; unknown does not mean no.
open_source_license,rescuePY_TUM,unknown,https://www.mdpi.com/2624-6511/9/2/36,2026-09-24,paper source returned 429; prior supplied architecture notes not upgraded to currently verified feature claims,Not established by the checked material; unknown does not mean no.
open_source_license,NYU_FDNY_TDT,unknown,https://doi.org/10.1007/s42421-026-00166-4,2026-09-24,publisher redirect inaccessible; no implementation verified,Not established by the checked material; unknown does not mean no.
open_source_license,SUMO_LLM_Agent,yes,https://github.com/xuyimingxym/SUMO_LLM_Agent/tree/f06f6098626eb184bb3a3334b1b20639dda6b842,2026-09-24,pinned official MIT repository README and bounded unmodified application smoke,Pinned repository MIT license.
open_source_license,FireCom,unknown,https://pubmed.ncbi.nlm.nih.gov/41078483/,2026-09-24,source returned browser verification page; no implementation verified,Not established by the checked material; unknown does not mean no.
